raw,eased,x,y,z,yaw,pitch
0.0433333,0.0144222,22977.7,613.264,45129.1,-111.871,-21.9631
0.0437037,0.0146698,22975.7,612.759,45119.3,-111.802,-21.9537
0.044074,0.0149195,22973.7,612.253,45109.3,-111.733,-21.9442
0.0444444,0.0151713,22971.6,611.751,45099.4,-111.663,-21.9347
0.0448148,0.0154252,22969.6,611.245,45089.3,-111.593,-21.9251
0.0451852,0.0156812,22967.5,610.739,45079.1,-111.522,-21.9154
0.0455555,0.0159394,22965.4,610.237,45068.9,-111.45,-21.9056
0.0459259,0.0161996,22963.3,609.733,45058.5,-111.377,-21.8958
0.0462963,0.0164619,22961.2,609.226,45048,-111.304,-21.8859
0.0466666,0.0167264,22959.1,608.726,45037.6,-111.23,-21.876
0.047037,0.0169929,22957,608.223,45027,-111.155,-21.866
0.0474074,0.0172616,22954.8,607.718,45016.3,-111.079,-21.8559
0.0477777,0.0175324,22952.7,607.22,45005.6,-111.003,-21.8457
0.0481481,0.0178052,22950.5,606.72,44994.7,-110.926,-21.8355
0.0485185,0.0180802,22948.3,606.218,44983.8,-110.849,-21.8252
0.0488889,0.0183573,22946.1,605.722,44972.8,-110.771,-21.8149
0.0492592,0.0186365,22943.9,605.226,44961.7,-110.692,-21.8045
0.0496296,0.0189178,22941.6,604.728,44950.5,-110.612,-21.794
0.05,0.0192012,22939.4,604.236,44939.2,-110.531,-21.7835
0.0503703,0.0194867,22937.1,603.745,44927.9,-110.45,-21.7729
0.0507407,0.0197743,22934.8,603.252,44916.4,-110.369,-21.7623
0.0511111,0.0200641,22932.6,602.766,44904.9,-110.286,-21.7516
0.0514814,0.0203559,22930.3,602.28,44893.3,-110.203,-21.7408
0.0518518,0.0206499,22927.9,601.794,44881.6,-110.119,-21.73
0.0522222,0.0209459,22925.6,601.314,44869.9,-110.034,-21.7192
0.0525926,0.0212441,22923.3,600.835,44858,-109.949,-21.7082
0.0529629,0.0215443,22920.9,600.357,44846,-109.863,-21.6973
0.0533333,0.0218467,22918.6,599.885,44834,-109.776,-21.6862
0.0537037,0.0221512,22916.2,599.414,44821.9,-109.688,-21.6752
0.054074,0.0224578,22913.8,598.945,44809.7,-109.6,-21.664
0.0544444,0.0227665,22911.4,598.482,44797.4,-109.511,-21.6529
0.0548148,0.0230773,22909,598.021,44785.1,-109.421,-21.6416
0.0551851,0.0233902,22906.6,597.562,44772.6,-109.331,-21.6304
0.0555555,0.0237052,22904.2,597.109,44760.1,-109.239,-21.619
0.0559259,0.0240223,22901.7,596.659,44747.4,-109.148,-21.6077
0.0562963,0.0243415,22899.3,596.212,44734.7,-109.055,-21.5963
0.0566666,0.0246629,22896.8,595.772,44721.9,-108.962,-21.5848
0.057037,0.0249863,22894.4,595.334,44709.1,-108.868,-21.5733
0.0574074,0.0253119,22891.9,594.901,44696.1,-108.773,-21.5618
0.0577777,0.0256395,22889.4,594.474,44683.1,-108.677,-21.5502
0.0581481,0.0259693,22886.9,594.05,44669.9,-108.581,-21.5386
0.0585185,0.0263012,22884.3,593.632,44656.7,-108.484,-21.527
0.0588888,0.0266351,22881.8,593.219,44643.4,-108.386,-21.5153
0.0592592,0.0269712,22879.3,592.811,44630,-108.288,-21.5036
0.0596296,0.0273094,22876.7,592.41,44616.5,-108.189,-21.4919
0.06,0.0276497,22874.2,592.014,44603,-108.089,-21.4801
0.0603703,0.0279921,22871.6,591.624,44589.3,-107.988,-21.4684
0.0607407,0.0283367,22869,591.241,44575.6,-107.887,-21.4566
0.0611111,0.0286833,22866.4,590.863,44561.8,-107.785,-21.4447
0.0614814,0.029032,22863.8,590.492,44547.8,-107.682,-21.4329
0.0618518,0.0293828,22861.2,590.129,44533.9,-107.579,-21.421
0.0622222,0.0297358,22858.6,589.772,44519.8,-107.475,-21.4091
0.0625926,0.0300908,22856,589.423,44505.6,-107.37,-21.3972
0.0629629,0.030448,22853.4,589.081,44491.4,-107.264,-21.3853
0.0633333,0.0308073,22850.7,588.747,44477.1,-107.158,-21.3733
0.0637037,0.0311686,22848.1,588.421,44462.6,-107.05,-21.3614
0.064074,0.0315321,22845.4,588.104,44448.2,-106.943,-21.3494
0.0644444,0.0318977,22842.7,587.794,44433.5,-106.834,-21.3375
0.0648148,0.0322654,22840.1,587.493,44418.9,-106.725,-21.3255
0.0651851,0.0326352,22837.4,587.202,44404.1,-106.615,-21.3136
0.0655555,0.0330071,22834.7,586.919,44389.3,-106.504,-21.3016
0.0659259,0.0333811,22832,586.646,44374.4,-106.393,-21.2897
0.0662962,0.0337572,22829.3,586.383,44359.3,-106.28,-21.2777
0.0666666,0.0341355,22826.6,586.13,44344.2,-106.167,-21.2658
0.067037,0.0345158,22823.8,585.887,44329.1,-106.054,-21.2539
0.0674074,0.0348983,22821.1,585.655,44313.8,-105.939,-21.242
0.0677777,0.0352828,22818.4,585.433,44298.4,-105.824,-21.2301
0.0681481,0.0356695,22815.6,585.223,44283,-105.708,-21.2182
0.0685185,0.0360582,22812.9,585.024,44267.4,-105.592,-21.2064
0.0688888,0.0364491,22810.1,584.837,44251.8,-105.475,-21.1946
0.0692592,0.0368421,22807.4,584.662,44236.1,-105.357,-21.1828
0.0696296,0.0372372,22804.6,584.5,44220.3,-105.238,-21.171
0.0699999,0.0376344,22801.8,584.35,44204.5,-105.119,-21.1593
0.0703703,0.0380326,22799.1,584.214,44188.5,-104.998,-21.1477
0.0707407,0.0384309,22796.3,584.092,44172.6,-104.878,-21.1361
0.0711111,0.0388291,22793.6,583.984,44156.7,-104.756,-21.1245
0.0714814,0.0392273,22790.8,583.89,44140.8,-104.634,-21.113
0.0718518,0.0396256,22788.1,583.81,44124.9,-104.511,-21.1015
0.0722222,0.0400238,22785.4,583.745,44108.9,-104.388,-21.0902
0.0725925,0.0404221,22782.7,583.694,44093,-104.264,-21.0789
0.0729629,0.0408203,22780,583.659,44077.1,-104.139,-21.0676
0.0733333,0.0412186,22777.3,583.638,44061.1,-104.014,-21.0565
0.0737036,0.0416168,22774.6,583.632,44045.2,-103.889,-21.0455
0.074074,0.0420151,22772,583.641,44029.3,-103.763,-21.0345
0.0744444,0.0424133,22769.3,583.666,44013.3,-103.637,-21.0237
0.0748148,0.0428116,22766.7,583.706,43997.4,-103.51,-21.013
0.0751851,0.0432098,22764,583.762,43981.4,-103.383,-21.0024
0.0755555,0.0436081,22761.4,583.833,43965.5,-103.256,-20.992
0.0759259,0.0440063,22758.8,583.921,43949.6,-103.128,-20.9816
0.0762962,0.0444046,22756.2,584.025,43933.6,-103.001,-20.9714
0.0766666,0.0448028,22753.6,584.145,43917.7,-102.873,-20.9614
0.077037,0.045201,22751.1,584.281,43901.7,-102.744,-20.9515
0.0774074,0.0455993,22748.5,584.434,43885.8,-102.616,-20.9417
0.0777777,0.0459975,22746,584.604,43869.8,-102.487,-20.9321
0.0781481,0.0463958,22743.4,584.791,43853.8,-102.359,-20.9227
0.0785185,0.046794,22740.9,584.995,43837.9,-102.23,-20.9134
0.0788888,0.0471923,22738.4,585.217,43821.9,-102.101,-20.9043
0.0792592,0.0475905,22735.9,585.456,43806,-101.972,-20.8954
0.0796296,0.0479888,22733.4,585.713,43790,-101.843,-20.8866
0.0799999,0.048387,22730.9,585.988,43774,-101.713,-20.8781
0.0803703,0.0487853,22728.4,586.281,43758.1,-101.584,-20.8697
0.0807407,0.0491835,22726,586.592,43742.1,-101.455,-20.8615
0.0811111,0.0495818,22723.6,586.923,43726.1,-101.325,-20.8535
0.0814814,0.04998,22721.1,587.272,43710.2,-101.196,-20.8458
0.0818518,0.0503783,22718.7,587.64,43694.2,-101.067,-20.8382
0.0822222,0.0507765,22716.3,588.028,43678.2,-100.937,-20.8308
0.0825925,0.0511748,22713.9,588.435,43662.2,-100.808,-20.8237
0.0829629,0.051573,22711.6,588.862,43646.3,-100.678,-20.8168
0.0833333,0.0519713,22709.2,589.309,43630.3,-100.549,-20.8101
0.0837036,0.0523695,22706.9,589.776,43614.3,-100.419,-20.8036
0.084074,0.0527678,22704.6,590.264,43598.3,-100.29,-20.7974
0.0844444,0.053166,22702.2,590.773,43582.3,-100.16,-20.7914
0.0848147,0.0535642,22700,591.303,43566.4,-100.031,-20.7856
0.0851851,0.0539625,22697.7,591.855,43550.4,-99.9015,-20.7801
0.0855555,0.0543607,22695.4,592.428,43534.4,-99.7721,-20.7749
0.0859259,0.054759,22693.2,593.023,43518.4,-99.6428,-20.7699
0.0862962,0.0551572,22690.9,593.641,43502.4,-99.5136,-20.7652
0.0866666,0.0555555,22688.7,594.281,43486.4,-99.3843,-20.7607
0.087037,0.0559537,22686.5,594.945,43470.4,-99.2552,-20.7565
0.0874073,0.056352,22684.3,595.631,43454.4,-99.1261,-20.7526
0.0877777,0.0567502,22682.2,596.341,43438.4,-98.997,-20.749
0.0881481,0.0571485,22680,597.076,43422.4,-98.8681,-20.7456
0.0885184,0.0575467,22677.9,597.834,43406.4,-98.7392,-20.7426
0.0888888,0.057945,22675.8,598.618,43390.4,-98.6103,-20.7398
0.0892592,0.0583432,22673.7,599.427,43374.4,-98.4816,-20.7374
0.0896296,0.0587415,22671.6,600.26,43358.4,-98.3529,-20.7352
0.0899999,0.0591397,22669.5,601.121,43342.4,-98.2243,-20.7334
0.0903703,0.059538,22667.5,602.006,43326.4,-98.0958,-20.7319
0.0907407,0.0599362,22665.5,602.92,43310.4,-97.9674,-20.7308
0.0911111,0.0603345,22663.5,603.86,43294.4,-97.839,-20.73
0.0914814,0.0607327,22661.5,604.826,43278.4,-97.7108,-20.7295
0.0918518,0.061131,22659.5,605.824,43262.4,-97.5827,-20.7293
0.0922222,0.0615292,22657.6,606.847,43246.4,-97.4547,-20.7296
0.0925926,0.0619275,22655.7,607.901,43230.4,-97.3268,-20.7301
0.0929629,0.0623257,22653.8,608.984,43214.4,-97.199,-20.7311
0.0933333,0.062724,22651.9,610.095,43198.4,-97.0713,-20.7324
0.0937037,0.0631223,22650.1,611.241,43182.4,-96.9438,-20.7341
0.0940741,0.0635205,22648.2,612.414,43166.4,-96.8164,-20.7363
0.0944444,0.0639188,22646.4,613.621,43150.3,-96.6891,-20.7388
0.0948148,0.064317,22644.6,614.86,43134.3,-96.5619,-20.7417
0.0951852,0.0647153,22642.9,616.129,43118.3,-96.4349,-20.745
0.0955556,0.0651135,22641.1,617.436,43102.3,-96.308,-20.7488
0.0959259,0.0655118,22639.4,618.773,43086.3,-96.1813,-20.753
0.0962963,0.06591,22637.7,620.148,43070.3,-96.0547,-20.7576
0.0966667,0.0663083,22636.1,621.557,43054.3,-95.9283,-20.7627
0.0970371,0.0667065,22634.4,623.001,43038.3,-95.802,-20.7682
0.0974074,0.0671048,22632.8,624.485,43022.2,-95.6759,-20.7743
0.0977778,0.067503,22631.2,626.001,43006.3,-95.55,-20.7808
0.0981482,0.0679013,22629.7,627.562,42990.2,-95.4242,-20.7878
0.0985186,0.0682995,22628.2,629.158,42974.2,-95.2987,-20.7953
0.0988889,0.0686978,22626.7,630.796,42958.2,-95.1733,-20.8033
0.0992593,0.069096,22625.2,632.474,42942.2,-95.0481,-20.8118
0.0996297,0.0694943,22623.8,634.191,42926.2,-94.9231,-20.8209
0.1,0.0698925,22622.4,635.957,42910.2,-94.7983,-20.8305
0.10037,0.0702908,22621,637.759,42894.3,-94.6737,-20.8407
0.100741,0.0706891,22619.6,639.614,42878.2,-94.5493,-20.8514
0.101111,0.0710873,22618.3,641.508,42862.2,-94.4252,-20.8627
0.101482,0.0714856,22617.1,643.452,42846.2,-94.3012,-20.8747
0.101852,0.0718838,22615.8,645.444,42830.3,-94.1775,-20.8872
0.102222,0.0722821,22614.6,647.481,42814.3,-94.0541,-20.9004
0.102593,0.0726803,22613.5,649.574,42798.3,-93.9308,-20.9142
0.102963,0.0730786,22612.3,651.708,42782.4,-93.8079,-20.9287
0.103333,0.0734768,22611.2,653.909,42766.3,-93.6852,-20.9438
0.103704,0.0738751,22610.2,656.153,42750.4,-93.5627,-20.9596
0.104074,0.0742733,22609.2,658.461,42734.4,-93.4405,-20.9762
0.104445,0.0746716,22608.2,660.819,42718.5,-93.3186,-20.9934
0.104815,0.0750698,22607.3,663.24,42702.5,-93.197,-21.0114
0.105185,0.0754681,22606.4,665.719,42686.6,-93.0757,-21.0302
0.105556,0.0758663,22605.6,668.258,42670.7,-92.9547,-21.0497
